AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
58,9961,20140101,20991231,Hogepol,"(53.326673035, 5.995816009)"
363,16871,20110323,,Galjooststraat 66,"(52.364447922, 4.986711752)"
363,13478,20060404,,Apollolaan 52,"(52.350183636, 4.881668975)"
479,75006,20130514,,1113,"(52.441150145, 4.82197072)"
363,13105,20060404,,Van Ostadestraat 70,"(52.351810898, 4.889332892)"
173,5012,20150520,,Vestingstraat,"(52.31306926, 6.925363228)"
363,18902,20111003,,Bouvigne 18_BORD,"(52.326005237, 4.884970149)"
439,7911,20040618,,Venedien,"(52.510502747, 4.948556665)"
363,15603,20060404,,FIZEAUSTRAAT 3 T/H,"(52.344832873, 4.926806622)"
363,13373,20060404,,De Lairessestraat 125,"(52.35257299, 4.868309645)"
363,16017,20060404,,FREDERIK HENDRIKSTRAAT 22 T/H,"(52.377762229, 4.874589003)"
439,7929,20061004,,Nieuwstraat,"(52.508371135, 4.944992958)"
363,13615,20060404,,DOMSELAERSTRAAT 126 T/H,"(52.360288415, 4.929184617)"
363,12511,20060404,,Amstelveenseweg 101_BORD,"(52.352367737, 4.856394435)"
439,7924,20040618,,Weerwal,"(52.510588009, 4.947674303)"
363,15573,20060404,,MIDDENWEG 137_BORD,"(52.351376923, 4.934147571)"
362,21787,20170324,,"Randwijck, Randwijcklaan","(52.31890413, 4.858386379)"
362,21787,20170324,,"Randwijck, Amsterdamseweg","(52.320897502, 4.857593909)"
362,21787,20160901,,"Randwijck, Bos en Vaartlaan","(52.319862828, 4.867009683)"
363,15829,20090622,,Carolina MacGillavrylaan,"(52.355941345, 4.948877678)"
362,21787,20170324,,"Randwijck, Willem van Beijerenlaan/Van Spaenstraat","(52.317322023, 4.859143219)"
362,21787,20170324,,"Randwijck, Catharina van Clevepark","(52.319849135, 4.863287539)"
362,21787,20170324,,"Randwijck, Bos en Vaartlaan","(52.321383289, 4.863024961)"
363,10182,20060404,,HALVEMAANSBRUG 0 T/H,"(52.367145829, 4.895953652)"
